Name,Agreement Number,Upcoming EMI Due Date,Payment Made (Yes/No),Payment Made Date,Recent EMI Date,Recent Payment Date
John Doe,ACCT-12345,15-10-2023,Yes,10-10-2023,15-09-2023,10-09-2023
John Doe,ACCT-56789,20-10-2023,Yes,18-10-2023,20-09-2023,18-09-2023
John Doe,ACCT-98765,25-10-2023,Yes,22-10-2023,25-09-2023,22-09-2023
John Doe,ACCT-24680,12-10-2023,Yes,10-10-2023,12-09-2023,10-09-2023
John Doe,ACCT-13579,28-10-2023,Yes,25-10-2023,28-09-2023,25-09-2023
Emily White,ACCT-54321,15-10-2023,No,N/A,15-09-2023,02-10-2023
Emily White,ACCT-98765,20-10-2023,No,N/A,20-09-2023,05-10-2023
Emily White,ACCT-13579,25-10-2023,No,N/A,25-09-2023,10-10-2023
Emily White,ACCT-24680,12-10-2023,No,N/A,12-09-2023,15-10-2023
Emily White,ACCT-56789,28-10-2023,No,N/A,28-09-2023,20-10-2023
